LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID70320,70320,2,6.239107608795166,33.10264396525119,38.96043442452068,0.0,50.0,50,7.5,1,,151.15384615384616,255.0,0.0,255.0,33405.0,125.571073124324,0.15905891815805348,0.3303787484952046
ID70323,70323,2,6.985355377197266,33.65625052711096,36.734376640693036,0.0,51.0,51,7.5,1,,165.0,255.0,0.0,255.0,36465.0,122.1372179149337,0.24804125756223344,0.536983447431589
ID70387,70387,2,10.076925277709961,25.814632943518404,13.321964874252616,0.0,87.0,87,7.5,1,,236.53846153846155,255.0,0.0,255.0,52275.0,66.23226771531579,0.580099851099238,2.6222878352375596
ID70322,70322,2,9.278850555419922,31.942751113318796,40.28486313626772,0.0,52.0,52,7.5,1,,189.23076923076923,255.0,0.0,255.0,41820.0,111.81293693992984,0.5174009042161708,1.1541348105946976
ID70325,70325,2,9.282204627990723,35.313427035666734,45.98437048396755,0.0,55.0,55,7.5,1,,193.84615384615384,255.0,0.0,255.0,42840.0,109.12525683049611,0.5050391937290034,1.1921727162414082
ID70389,70389,2,10.264744758605957,28.45197401468377,13.651395942038617,0.0,89.0,89,7.5,1,,235.3846153846154,255.0,0.0,255.0,52020.0,68.10394153899541,0.6122137404580152,2.6249212377101934
ID70324,70324,2,9.015534400939941,32.24520920812925,43.88270591239869,0.0,53.0,53,7.5,1,,206.53846153846155,255.0,0.0,255.0,45645.0,100.27296660699636,0.49138420753645146,1.3573089857291845
ID70327,70327,2,9.81717300415039,34.609346569130125,44.28545496021354,0.0,58.0,58,7.5,1,,191.53846153846155,255.0,0.0,255.0,42330.0,110.5014792800395,0.5748167313497197,1.265369257825241
ID70391,70391,2,10.407814025878906,26.680153371929297,13.68918651214101,0.0,90.0,90,7.5,1,,241.15384615384616,255.0,0.0,255.0,53295.0,57.91572126142253,0.6344086021505375,3.232482206627364
ID70326,70326,2,7.797252178192139,39.0654177843059,42.647946611738384,0.0,56.0,56,7.5,1,,199.6153846153846,255.0,0.0,255.0,44115.0,105.3844112090305,0.36771179588536523,1.0184989872080674
ID70329,70329,2,9.338685989379883,35.35227317353395,43.574099525862394,0.0,57.0,57,7.5,1,,204.23076923076923,255.0,0.0,255.0,45135.0,102.05767600121645,0.5091560895262087,1.35027515279009
ID70328,70328,2,9.646218299865723,30.58631010384237,46.16466388156,0.0,60.0,60,7.5,1,,173.07692307692307,255.0,0.0,255.0,38250.0,119.3459008761676,0.542957334891876,1.0206420133845158
ID70331,70331,2,8.784175872802734,26.706861915031638,36.44658887607696,0.0,62.0,62,7.5,1,,219.23076923076923,255.0,0.0,255.0,48450.0,88.75449363192854,0.4817440623892237,1.6061434381409814
ID70330,70330,2,9.391043663024902,30.493207669356767,42.486106443108206,0.0,59.0,59,7.5,1,,207.69230769230768,255.0,0.0,255.0,45900.0,99.34840157297415,0.5353300378016865,1.4578384130068922
ID70394,70394,2,9.505382537841797,26.471028648759216,18.588962614096033,0.0,88.0,88,7.5,1,,235.3846153846154,255.0,0.0,255.0,52020.0,68.10394153899541,0.5483870967741935,2.4481809049965397
ID70333,70333,2,9.618602752685547,25.787126778269855,26.944615065931046,0.0,65.0,65,7.5,1,,216.92307692307693,255.0,0.0,255.0,47940.0,91.08955863493703,0.5606074898594473,1.7109304780199832
ID70332,70332,2,9.811017990112305,26.412235916703434,37.80956008539385,0.0,61.0,61,7.5,1,,215.76923076923077,255.0,0.0,255.0,47685.0,92.21317276164633,0.5842880523731588,1.7259149982126316
ID70335,70335,2,9.053596496582031,23.45825100088961,29.368792665896486,0.0,64.0,64,7.5,1,,222.69230769230768,255.0,0.0,255.0,49215.0,85.01398486353665,0.5079463730799965,1.7647240511904472
ID70334,70334,2,9.783032417297363,26.517393938549443,34.1660936829504,0.0,63.0,63,7.5,1,,226.15384615384616,255.0,0.0,255.0,49980.0,80.95258907732108,0.5771762984637893,2.0447088525652517
ID70337,70337,3,5.38165283203125,0.0,21.0,0.0,66.0,66,7.5,1,,191.24886877828055,255.0,0.0,255.0,42266.0,96.97172296877416,0.28820972344454227,0.8824819157102104
